Design,Cell Count,Cell Area (um^2),Total Power (mW/uW),Critical Path Delay (ns)
crs_decoder_72_64,5269,2775.66606,5.0425 mW,0.55
crs_decoder_80_64,5854,3080.98264,5.6076 mW,0.61
hrs_encoder_68_64,3367,1862.04674,2.5907 mW,2.24
rs_decoder_10_8,1939,981.506395,1.1728 mW,0.65
rs_decoder_76_64,4171,2415.62641,4.2046 mW,0.92
rs_decoder_90_64,4358,2500.07521,4.3712 mW,1.01
rs_encoder_10_8,662,366.610796,623.2791 uW,0.56
rs_encoder_72_64,2802,1897.300781,2.5711 mW,0.59
rs_encoder_76_64,4250,2624.839186,4.8015 mW,0.76
rs_encoder_90_64,8416,5433.00598,13.2064 mW,0.8
sec_decoder_136_128,445,226.617599,681.7467 uW,1.06
secded_decoder_72_64,266,123.742799,393.8451 uW,1.07
secded_encoder_72_64,64,49.905599,113.9986 uW,0.46
sec_encoder_136_128,99,86.047198,202.0619 uW,0.56
xed_decoder_10,27762,15340.732638,76.5449 mW,2.51
xed_decoder_9,7632,5422.127981,29.8595 mW,1.77
xed_encoder_10,22774,12765.355022,73.0696 mW,1.81
xed_encoder_9,4563,4189.717182,32.0799 mW,1.26
